evidence_id,relation_id,document_id,paragraph_id,sentence_ids,category,source_url,text,support_count,review_status
ev_8e0c34a419c9,rel_a417125fcb73,doc_00000680,,,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle680,一個人如果能做到慈悲為懷，人我平等，這個人的內心就是一方淨土。,2,auto_keep_stable
ev_1435028806ff,rel_b3f3480bbaa9,doc_00000162,par_00000162_0154,sent_00000162_0154_003;sent_00000162_0154_004,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle162,在真常唯心系的法界緣起學說裡，說明眾生心就是大乘心，人人有佛性，佛性、真如無階級，如如不動。⟂S⟂所以，六祖大師說：「外道所說不生不滅，將滅止生，以生顯滅；,1,accept_stable_edge
ev_f2e7e870dbf4,rel_bc952a687446,doc_00016280,,,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle16280,攝善法戒就是佛法，攝律儀戒就是佛法，饒益有情就是佛法，慈悲就是佛法。,1,auto_keep_stable
ev_11a7e46f193b,rel_2fc375d73498,doc_00003706,par_00003706_0037,sent_00003706_0037_001;sent_00003706_0037_002;sent_00003706_0037_003;sent_00003706_0037_004;sent_00003706_0037_005,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle3706,所謂十種因緣，即是：念佛重恩、念父母恩、念師長恩、念施主恩、念眾生恩、念生死苦、尊重己靈、懺悔業障、求生淨土、念正法久住。⟂S⟂在《發菩提心經論》中則說菩薩要依思惟諸佛、觀身過患、慈憫眾生、求最勝果等四種因緣而發菩提心，以修習無上菩提。⟂S⟂也就是要效法佛陀做大丈夫，發大勇猛，捨身命財寶，求一切智；⟂S⟂常觀四大五蘊如夢幻泡影，悲憫眾生之造惡業而不自覺，乃發誓願上弘下度之心；⟂S⟂能夠如此，就是發菩提心了。,1,accept_stable_edge
ev_8311a34c5bb8,rel_e7116cbc2381,doc_00010808,par_00010808_0019,,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle10808,佛教傳播到中國的二千多年間，雖然歷經多少苦難，但是許多寺院依然孜孜矻矻地舉辦活動，度化眾生，像是每逢無遮大會、浴佛法會、盂蘭盆會時間一到，信徒就會扶老攜幼踴躍參與；⟂S⟂甚至佛陀成道日一到，不只「家家彌陀佛，戶戶觀世音」，更是「家家戶戶臘八粥」，每家每戶都能品嘗到臘八粥。⟂S⟂這些活動的盛況，教人看了怎麼會不心生歡喜呢？,1,accept_stage263i_validated_evidence
ev_dc4d889f61e0,rel_31391a22111d,doc_00002908,,,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle2908,從凡夫階段進趨二乘羅漢的境界，如果能夠體證緣起的道理，就是般若。,1,auto_keep_stable
ev_234f5f010c9a,rel_1367c939dfdc,doc_00016726,par_00016726_0017,sent_00016726_0017_001;sent_00016726_0017_002;sent_00016726_0017_003;sent_00016726_0017_004;sent_00016726_0017_005;sent_00016726_0017_006;sent_00016726_0017_007;sent_00016726_0017_008;sent_00016726_0017_009;sent_00016726_0017_010;sent_00016726_0017_011,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle16726,在《法華經》、《楞嚴經》中，觀世音菩薩自述在因地修習耳根圓通到了相當功行時，「盡聞不住，覺所覺空；⟂S⟂空覺極圓，空所空滅；⟂S⟂生滅既滅，寂滅現前。」⟂S⟂佛陀則讚美觀世音菩薩「慈眼視眾生，福聚海無量」；⟂S⟂在《金剛經》、《阿彌陀經》中記載︰「如來是真語者，實語者，不誑語者，不異語者。」⟂S⟂「十方諸佛，同聲讚歎釋迦牟尼佛於五濁惡世中能為希有之事。」⟂S⟂在《維摩詰經》中，眾香佛國以香飯作諸佛事，而其他佛土中，「諸佛威儀進止，諸所施為，無非佛事」。⟂S⟂維摩大士說︰「隨其心淨，則佛土淨。」⟂S⟂至於眾生為何見此土汙穢？⟂S⟂這正如螺髻梵王所說︰「心有高下，不依佛慧，故見此土為不淨耳。⟂S⟂菩薩於一切眾生悉皆平等，深心清淨，依佛智慧，則能見此佛土清淨。」,1,accept_stable_edge
ev_7d172d6ed22e,rel_2e326b6d30fc,doc_00000921,par_00000921_0071,sent_00000921_0071_002;sent_00000921_0071_003,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle921,所以佛陀在此教誡行者：「若以色見我，以音聲求我，是人行邪道，不能見如來。」⟂S⟂這是佛陀斥責著相的凡夫，不可誤將三十二相的色身，靈山說法的音聲以為是如來的法身實相。,1,accept_stable_edge
ev_75b893843461,rel_1848474dafd3,doc_00006741,,,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle6741,佛光山經常舉辦義工會議、金剛會議，以實質的鼓勵回饋為道場出力服務的男女老少，因為我主張：眾人奉獻佛教的「因」不必等到將來結「果」，身為佛陀侍者的我們，應該在現世代為及時報答。,1,keep_stable_register_endpoints
ev_c224a3a780f9,rel_44841f3a55eb,doc_00000679,par_00000679_0025,sent_00000679_0025_001,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle679,人間佛教並非新創，而是釋迦牟尼佛一脈相承的教法，乃從淨化心靈根本之道做起，但並不因此而偏廢物質方面的建設，而是教人以智慧運用財富，以出世的精神來作入世的事業，從而建立富而好禮的人間淨土。,1,accept_stable_edge
ev_d1ab7503c7e0,rel_994f9b4cafbb,doc_00009843,par_00009843_0177,sent_00009843_0177_001;sent_00009843_0177_002,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9843,佛陀是人間的大導師，他對波斯匿王、頻婆娑羅王等王宮大臣，不亢不卑，展現修道者的超然，但也會適當的給予一些讚歎，如稱他們為「轉輪聖王」；⟂S⟂甚至讓每個弟子都有一種功用，這個弟子「說法第一」，那個弟子「持戒第一」……所以「十大弟子」各有專長，也是佛陀用讚美引導弟子修行的成果。,1,accept_stable_edge
ev_10e3b8e4d6af,rel_517601e2464e,doc_00009790,par_00009790_0028,,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9790,佛法是離不開生活的，從《維摩詰經》裡，即可見諸佛菩薩處處在行住坐臥裡，表現佛法的真義。,1,accept_stage263i_validated_evidence
ev_96e32aa8ef48,rel_ebfc403a6ea5,doc_00003798,par_00003798_0016,sent_00003798_0016_001;sent_00003798_0016_002;sent_00003798_0016_003;sent_00003798_0016_004;sent_00003798_0016_005,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle3798,在中國的禪門，一直都很著重「自覺」，凡事要靠自己去參，不能說破。⟂S⟂當初佛陀在靈山會上「拈花示眾」，迦葉尊者靈犀相應，破顏而笑，於是佛陀把「正法眼藏，涅槃妙心；⟂S⟂實相無相，微妙法門；⟂S⟂不立文字，教外別傳，付囑摩訶迦葉」。⟂S⟂禪，因此就在「拈花微笑」、師徒心意相契的剎那之間流傳下來，這就是「自覺」。,1,accept_stable_edge
ev_28d031f3434e,rel_99724e07d195,doc_00016154,,,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle16154,（大眾鼓掌）文章的後面是這樣寫的：除了佛光山的這許多比丘尼以外，當然其他的比丘尼對佛教的貢獻也很多，不過我對他們不是太了解，如曉雲法師創辦華梵工學院（今華梵大學）、證嚴法師創辦慈濟功德會、香光寺悟因法師創辦文化團隊……佛教裡還有好多的比丘尼也有成就，不過我也沒有辦法一一去了解他們，只能對他們表示一種讚美。,1,auto_keep_stable
ev_b236b521723c,rel_88dbe2c4525d,doc_00009073,par_00009073_0007,sent_00009073_0007_001;sent_00009073_0007_002;sent_00009073_0007_003;sent_00009073_0007_004;sent_00009073_0007_005;sent_00009073_0007_006;sent_00009073_0007_007;sent_00009073_0007_008,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle9073,阿彌陀佛的極樂世界，位於娑婆世界西方，距離此方約十萬億佛土，教主阿彌陀佛已經成佛十劫，正在彼土說法。⟂S⟂極樂世界因為「無有眾苦，但受諸樂」，故名極樂。⟂S⟂極樂淨土的風光是：黃金鋪地、七寶樓閣、七重欄楯、七重羅網、七重行樹、七寶池、八功德水，四邊階道都是由金、銀、琉璃、玻璃諸寶合成。⟂S⟂日常生活則是思衣得衣，思食得食，來往飛行自在；⟂S⟂居民都是善人相聚，無有男女之分，皆由蓮花化生。⟂S⟂極樂世界是阿彌陀佛在因地修行時所發四十八大願，以無盡悲願功德建設而成。⟂S⟂阿彌陀佛向眾生宣誓，一切有情只要信賴彌陀願力，願生西方，專誠恭謹稱念彌陀聖號而至一心不亂，與彌陀佛力感應，身心得到護念攝受，即可往生極樂世界。⟂S⟂相對於藥師佛之追求現世的安樂，極樂世界則帶給娑婆眾生對未來的生命充滿無限希望。,1,accept_stable_edge
ev_df3efd44a697,rel_10ddb1f82749,doc_00014003,par_00014003_0004,sent_00014003_0004_001;sent_00014003_0004_002,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle14003,「莫怪靈山留一笑，如來原是賣花人」，當初佛陀在靈山會上，對百萬人天講說佛法時，拈一朵花在手上，示現大眾，弟子大迦葉遙望佛陀手上的花微微一笑，他的心與佛陀相應了，因此佛陀說：「我有正法眼藏，涅槃妙心，實相無相，微妙法門，不立文字，教外別傳，付囑摩訶迦葉。」⟂S⟂大迦葉尊者在靈山會上，透過對佛陀的一笑，繼承了佛陀的正法，佛陀藉花傳道，故幽默一點說：「如來原是賣花人」。,1,accept_stable_edge
ev_f67a9d90a353,rel_9263b4aa53af,doc_00003797,par_00003797_0060,sent_00003797_0060_004;sent_00003797_0060_005,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle3797,出世的佛教雖然不以營利為弘法事業的目標，卻不能因此否定佛教事業的成就和貢獻，因為人間佛教是「以出世的精神，做入世的事業」，特別注重信徒現生的幸福安樂。⟂S⟂因此佛光山一向本著「非佛不作」的原則，發展文化、教育、慈善等佛化事業。,1,new_relation
ev_d6a76dfff97a,rel_55c9df3515fe,doc_00010961,,,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle10961,人間佛教是正命、是慈悲的。,1,auto_keep_stable
ev_bb0737af4b7a,rel_00fac295f16c,doc_00007202,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle7202,回到曼谷道場，已經有一批信眾等候，他們要珍惜佛牙在曼谷只有這一點點的短暫時間，這種虔誠，真讓人感動，因此曼谷道場特別為他們再舉辦一場祈福法會，很多人都顧不得吃飯，珍惜這重要的一刻。,1,keep_stable_register_endpoints
ev_a58733385943,rel_9e2c1f058c84,doc_00019697,par_00019697_0014,sent_00019697_0014_002,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle19697,十七日晚間，星雲大師於菲律賓佛光山萬年寺大雄寶殿內，對當地信徒、佛教學院、光明大學師生等五百餘人開示。,1,accept_stable_edge
ev_0e89ff64d1d7,rel_8a5b8fa65d5d,doc_00024133,,,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24133,佛光山僧團推動僧信平等共修，以道會友，共同致力於人間佛教的弘揚，擴大社會影響力。,1,auto_keep_stable
ev_27c95244d453,rel_00972cb8d3a2,doc_00007214,par_00007214_0161,sent_00007214_0161_002,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle7214,但根據《大般涅槃經》記載，第一個來搶佛陀舍利的並不是人，而是護法天神帝釋天，他宣稱佛陀生前答應要給他一顆牙舍利，此佛牙現在供奉在忉利天。,1,accept_stable_edge
ev_1ae1e6db30ad,rel_caa0b56ee1a8,doc_00009082,par_00009082_0002,sent_00009082_0002_002;sent_00009082_0002_003,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle9082,他度化了婆羅門種姓的摩訶迦葉、舍利弗、目犍連、須菩提等。⟂S⟂其中，舍利弗、目犍連為六師外道之一的刪闍耶的弟子，他們無意間從阿說示口中聽到佛陀教導的「諸法因緣生，諸法因緣滅」及「諸行無常，是生滅法；,1,accept_stable_edge
ev_f6089b2e4a71,rel_b245099bf561,doc_00000043,par_00000043_0138,sent_00000043_0138_003;sent_00000043_0138_004,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle43,這十大弟子主要的貢獻是結集編纂《壇經》，把惠能的事蹟行誼傳揚下來，尤其神會舉辦滑臺無遮大會，建立南宗頓教世系地位。⟂S⟂這些弟子們對於南宗禪的流行，有著不可磨滅的功勞。,1,accept_stable_edge
ev_77b6d8479e46,rel_72a221b9f328,doc_00002498,par_00002498_0007,sent_00002498_0007_002;sent_00002498_0007_003,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle2498,所有佛經前都有「如是我聞」，最後都是「皆大歡喜，信受奉行」；⟂S⟂或者佛陀說法時，大眾同聲「願樂欲聞」，最後「歡喜踴躍，信受奉行」，說明佛教提倡人人要有禪悅、法樂，所以「皆大歡喜」很重要。,1,accept_stable_edge
ev_a961ac5d201d,rel_cf35f26fd59e,doc_00003702,par_00003702_0319,sent_00003702_0319_004;sent_00003702_0319_005,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle3702,智者大師將《法華經》的千如，配合《大智度論》的三世間，形成他自己獨特的一念三千的教學。⟂S⟂關於十如是、三世間等名相，佛教辭典有詳細的記載，不一一加以介紹，我們只對一念三千的道理稍加說明。,1,accept_stable_edge
ev_a0172126503f,rel_546dc9421e61,doc_00000674,par_00000674_0131,sent_00000674_0131_001;sent_00000674_0131_002,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle674,說到禪宗，從遠處說，禪是從佛陀在靈山會上拈花微笑，把正法眼藏付囑摩訶迦葉（見《傳燈錄》）。⟂S⟂此事在《大梵天王問佛決疑經》中有詳細的記載：一日，佛陀行化至靈鷲山，時有大梵天王，為令今世、後世眾生獲得利益，以金婆羅華獻佛，捨身為床座，恭請佛陀為眾生說法。,1,accept_stable_edge
ev_5d53a28471b2,rel_401da498fbdf,doc_00019345,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle19345,五戒就是人間佛教，乃至大乘法門的四攝、六度、八正道，都是人間佛教。,1,auto_keep_stable
ev_a82852aafa97,rel_731248c9c7f3,doc_00000744,par_00000744_0078,sent_00000744_0078_005,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle744,與鳩摩羅什並列為「中國四大譯師」之一的玄奘，在西行取經回國後，為唐太宗、高宗所欽重，供養於大內，並先後敕住弘福寺、大慈恩寺、玉華宮寺等處，請其譯經，一時之間，也是俊彥翕從。,1,new_relation
ev_4083e032c496,rel_5024a80619d2,doc_00004345,par_00004345_0096,sent_00004345_0096_001;sent_00004345_0096_002,第八類【日記】,https://books.masterhsingyun.org/ArticleDetail/artcle4345,名經濟學家千家駒先生，浙江人，現年八十五歲，過去弘揚共產主義，在大陸人民大會堂幾千人的講演，三十分鐘內有三十一次掌聲，可見其建言、思想、言論、見解的權威。⟂S⟂一九八八年在洛杉磯西來寺皈依佛教時，曾造成一時轟動，大家十分好奇為何幾十年來信仰共產主義的無神論者，最後竟然會皈依佛門？,1,accept_stable_edge
ev_3832946cbda0,rel_f97cd5af2fdc,doc_00017816,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17816,一九九二年五月十六日，星雲大師於美國洛杉磯創立國際佛光會世界總會，並舉行第一次會員代表大會，星雲大師被推為國際佛光會世界總會會長。,2,auto_keep_stable
ev_14f01e3d678f,rel_ea25098ee47c,doc_00015755,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle15755,二○一一年月光寺舉辦甘露灌頂皈依三寶典禮，由星雲大師主持。,1,keep_stable_register_endpoints
ev_f6323cbc3bca,rel_51c4362a0916,doc_00024075,par_00024075_0104,sent_00024075_0104_002,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24075,可見大師的說明旨在明辨：般若智慧是不同於一般智慧或世俗知識的一種特殊智慧，般若智慧是為了人們離於煩惱、獲得解脫的智慧。,1,stage260_llm_adjudicated
ev_da50788b2e06,rel_75ab293f7659,doc_00005724,,,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle5724,一直到宋代永明延壽大師提倡禪淨雙修，才調和了禪淨的爭端。,1,auto_keep_stable
ev_c4b5fbcf8a87,rel_096d6c82c0f1,doc_00022745,par_00022745_0002,sent_00022745_0002_001;sent_00022745_0002_002,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle22745,這一期經論介紹，要向各位介紹的是一部唯識的根本論著《唯識三十論》。⟂S⟂此論雖然只有一百二十句的短文，但所含義理豐富，把人的心理變化過程用「八識」來說明，以精闢之喻來闡釋三界唯心、萬法唯識的道理。,1,accept_stable_edge
ev_f514cee2e995,rel_4656eb7b154f,doc_00009849,,,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9849,後來達摩將衣缽及《楞伽經》傳給慧可，而有了東土的禪宗二祖。,1,auto_keep_stable
ev_7d507aaa15b3,rel_c2bf3c5ea7d4,doc_00024164,par_00024164_0006,sent_00024164_0006_001;sent_00024164_0006_002;sent_00024164_0006_003;sent_00024164_0006_004;sent_00024164_0006_005;sent_00024164_0006_006,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24164,其實，禪宗既然認為搬柴運水、揚眉瞬目都是禪，為什麼念佛就不是禪呢？⟂S⟂禪門說參禪時講究心要定於一境，而淨土宗如《阿彌陀經》說，念佛要一心不亂，這不就是禪的定境嗎？⟂S⟂心定於阿彌陀佛，以此為所緣境，有何不可？⟂S⟂為何要批評呢？⟂S⟂所以禪門排斥念佛應該是不當的，念佛的人不容禪者也是不對的，禪淨應該彼此相互融攝；⟂S⟂禪淨皆為我佛金口所宣、同源所流，有此認識，才合乎佛法的精神。,1,accept_stable_edge
ev_6b29fbe56cd5,rel_603f8bc75eca,doc_00023596,,,第九類【佛光山系列】,https://books.masterhsingyun.org/ArticleDetail/artcle23596,佛教裡，釋迦牟尼佛在靈鷲山上拈花微笑，將涅槃妙心傳給大迦葉尊者，但佛教史上記載，也只傳了二十八代，後續就不知所以了。,1,repair_stable_edge
ev_3e9113e817f4,rel_44841f3a55eb,doc_00024098,par_00024098_0051,sent_00024098_0051_001,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24098,人間佛教就是要從淨化心靈的根本之道做起，但也不是因此而偏廢物質方面的建設，而是要教人以智慧來運用財富，以出世的精神來做入世的事業，從而建立富而好禮的人間淨土。,1,accept_stable_edge
ev_816437ffee50,rel_267e0749c2c1,doc_00006848,,,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle6848,又《俱舍‧業品》，說明業感緣起；,1,auto_keep_stable
ev_eb4df4061ad6,rel_8a6f35dd9274,doc_00024126,par_00024126_0029,sent_00024126_0029_001;sent_00024126_0029_002,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24126,佛陀「不倡導神權」，摒棄對神通、靈異等他力的依賴，而是回歸自力，強調修行應立足於自身的「道德與慈悲」，讓佛法融入日常生活，才是「自我解脫與安心的途徑」。⟂S⟂因此，凡是佛陀所宣說、符合人類需求、能淨化心靈、趨向善美的教法，皆屬於人間佛教，旨在促進幸福與安樂。,1,accept_stable_edge
ev_1dea67939d99,rel_9b46536bac00,doc_00024162,par_00024162_0079,sent_00024162_0079_001;sent_00024162_0079_002;sent_00024162_0079_003;sent_00024162_0079_004;sent_00024162_0079_005;sent_00024162_0079_006;sent_00024162_0079_007;sent_00024162_0079_008,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24162,般若是什麼？⟂S⟂六祖惠能大師說：「菩提般若之智，世人本自有之；⟂S⟂只緣心迷，不能自悟，須假大善知識，示導見性。⟂S⟂當知愚人智人，佛性本無差別，只緣迷悟不同，所以有愚有智。」⟂S⟂般若不是外來的知識，而是眾生的清淨光明本性，是眾生的本來面目；⟂S⟂般若是法身、實相、自性、佛性的同義詞。⟂S⟂般若是我們人之本源、人之根本、真如佛性，就是我們的本來面目。⟂S⟂,1,accept_stable_edge
ev_c70020e9b6e2,rel_191083329863,doc_00015640,par_00015640_0031,sent_00015640_0031_003,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle15640,玄奘寫過《大唐西域記》，這是呈給太宗皇帝看的報告，對自己著墨不多，但他在譯經的空檔常與弟子品茗閒談，他的弟子慧立把他的談話寫成《大唐大慈恩寺三藏法師傳》，裡面飽含了孺慕與崇仰，這本風采迷人的傳記，本身就是教育的最佳範本。,1,accept_stable_edge
ev_bccacff22eca,rel_6a1f887126b2,doc_00008863,par_00008863_0014,sent_00008863_0014_001;sent_00008863_0014_002;sent_00008863_0014_003;sent_00008863_0014_004,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle8863,後世每逢十二月八日，寺院均仿牧羊女供乳糜的典故，於該日以「諸果品、五穀煮粥」供佛，稱為「佛粥」、「臘八粥」或「五味粥」，寺院以此粥供佛後，多分送給信徒，藉此機緣與信眾檀那聯絡感情，拉近信眾彼此間的距離。⟂S⟂吃臘八粥之風漸廣傳至民間，乃至宮廷亦於此日架起大鍋煮粥供應，皇帝、皇后、百官等，亦互敬臘八粥，以示吉祥如意。⟂S⟂一般社會大眾亦認為在佛陀成道日吃臘八粥能平安吉祥，能消災免難，所以在臘八節這一天多會到寺院吃粥求平安，臘八粥讓佛教的信仰融入民眾生活裡。⟂S⟂因此，身為佛教徒者應加以推廣，讓更多人能同沾佛陀成道日的吉祥氣息。,1,accept_stable_edge
ev_63c7f14fc086,rel_2457cb15b451,doc_00006462,,,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle6462,在禪宗史上，黃檗希運禪師和臨濟義玄禪師傳承的禪法，叫做臨濟宗；,1,auto_keep_stable
ev_fbd711665077,rel_e84930bea35d,doc_00001828,,,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle1828,也就是說，我們應該保有「問政不干治」的態度，但是如果有佛教徒參與政治，其實也沒有不對，現代社會應該要有雅量接受，不能剝奪佛教徒乃至僧侶關心國家社會的權利，因為出家是信仰，參政是人權。,1,auto_keep_stable
ev_db5b82872704,rel_72cded074eeb,doc_00005060,,,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle5060,所謂三法印就是「諸行無常」、「諸法無我」、「涅槃寂靜」。,3,auto_keep_stable
ev_d6632803832e,rel_018a4fbd610a,doc_00019813,par_00019813_0002,sent_00019813_0002_001;sent_00019813_0002_002;sent_00019813_0002_003;sent_00019813_0002_004,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle19813,翰林學人「星雲大師一筆字」座談會昨日於宗祖殿舉行開幕典禮，二百人與會。⟂S⟂座談會指導單位高雄市政府教育局，主辦單位佛光山藏經樓、佛光山人間佛教研究院。⟂S⟂高雄市副市長洪東煒代表市長韓國瑜出席致意，他表示，星雲大師的一筆字從四個點出發，就是「給人信心、給人歡喜、給人希望、給人方便」，如同《心經》的諸法空相，《金剛經》的「一切有為法，如夢幻泡影」，實踐戒定慧與慈悲喜捨。⟂S⟂此次座談會與會者都是各界精英，相信最後殊途同歸，就是慈悲為懷，普度眾生。,1,accept_stable_edge
ev_dbe1a5e91020,rel_0ce35bdc9306,doc_00017814,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17814,二○一四年十一月四～九日佛光山印度德里文教中心協同印度青年佛教會，舉辦北方邦義診活動。,1,keep_stable_register_endpoints
ev_9d35e57b2f5b,rel_aa73c7ccfcbd,doc_00002852,,,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle2852,相反的，對社會大眾有利益的就是道德。,1,auto_keep_stable
