claim_evidence_id,claim_id,claim_relation_ids,document_id,paragraph_id,sentence_ids,category,source_url,text,support_count
cev_e0ae5e81b46e,claim_baa65a55c47c,crel_ed9b19a4aceb,doc_00002878,par_00002878_0064,sent_00002878_0064_001;sent_00002878_0064_002;sent_00002878_0064_003;sent_00002878_0064_004;sent_00002878_0064_005;sent_00002878_0064_006;sent_00002878_0064_007;sent_00002878_0064_008,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle2878,當初，釋迦牟尼佛在菩提樹的金剛座上，夜睹明星而成正覺，悟的是什麼？⟂S⟂即宇宙的真理──因緣。⟂S⟂如果懂得因緣，就應當廣結善緣，廣度眾生。⟂S⟂有些人出家學道，只想到深山裡閉關，找一個清淨的地方坐禪，除了自己，不要有別人，不要煩擾複雜，只想單純清修，這種方式，讓人不以為然。⟂S⟂為了一己的出家修道，常住大眾多少奔忙，父母師長多少辛苦，十方信徒多少供養，才能成就個人的清修，不過，即使個人獲得了清淨安住，無視眾生仍繼續留在煩惱紅塵裡掙扎受苦，這樣的人真能得道嗎？⟂S⟂《阿彌陀經》云「不可以少善根福德因緣，得生淨土」，孤因孤緣，怎麼能成就佛道？⟂S⟂度生的因緣尚未培養，即妄想成道、了生死，這是違背因果觀念的。⟂S⟂要擁有因緣，就得先結緣。,1
cev_9333c98a1b65,claim_6ff3e860666e,crel_18bd14d867c8,doc_00002882,par_00002882_0107,sent_00002882_0107_003;sent_00002882_0107_004,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle2882,佛經上讚歎釋迦牟尼佛有莊嚴的三十二相，其中有舌覆額面的廣長舌相，佛陀為什麼能感得如此的正報呢？⟂S⟂因為佛陀是真語者、實語者、不妄語者、不綺語者，佛陀對眾生說話只有讚歎、鼓勵，這就是給人信心的信。,1
cev_d60a8013ed84,claim_7338195d4362,crel_7b30529ff3df,doc_00008739,par_00008739_0006,sent_00008739_0006_012,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle8739,因此，從人類與動植物的時空互動關係來看，不論人與人、人與動物、人與礦植物等，莫不息息相關，這就是所謂「同體與共生」的理念。,1
cev_2165598c9706,claim_647f69b33545,crel_bbda35efef42,doc_00006786,par_00006786_0028,sent_00006786_0028_001;sent_00006786_0028_002;sent_00006786_0028_003;sent_00006786_0028_004;sent_00006786_0028_005;sent_00006786_0028_006;sent_00006786_0028_007;sent_00006786_0028_008,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle6786,灌頂大師（五六一～六三二），隋朝僧，臨海章安人，俗姓吳。⟂S⟂字法雲，名灌頂。⟂S⟂世稱章安大師。⟂S⟂七歲從攝靜寺慧拯法師出家，二十歲受具足戒。⟂S⟂慧拯圓寂後，於南朝陳後主至德元年，至天台山修禪寺謁智者大師，承習天台教觀。⟂S⟂他的特色是慧解超強，一聞不忘，而且能日記萬言，曾長時間隨侍記錄結集智者大師講說的經教，如：天台三大部──《法華文句》、《法華玄義》、《摩訶止觀》等，大小部百餘卷。⟂S⟂《佛祖統記》的作者志磬大師讚歎，由於有灌頂記錄結集天台宗的教學，智者大師的智慧菁華能夠流傳於今日。⟂S⟂可見灌頂在天台宗的發展史上，有著重要的貢獻。,1
cev_0bc0c09112c7,claim_a1902ac44546,crel_5e2839672627,doc_00002395,par_00002395_0030,sent_00002395_0030_005,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle2395,其實不是不懂建築，建低的用意是要告訴大家：想要見到佛陀，就必須放下我慢，謙卑才能見佛。,1
cev_c6d3b4d9cf09,claim_9fa5641028a5,crel_dbffebf3e844,doc_00007249,par_00007249_0187,sent_00007249_0187_003,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle7249,而且，佛陀說過，過去諸佛的上首弟子，必先於佛陀之前涅槃，我想，現在正是我進入涅槃的時候了，務要懇求佛陀慈悲允許。」,1
cev_ae4b6c098733,claim_f73c60c81bf6,crel_e5885a32433f,doc_00009664,par_00009664_0006,sent_00009664_0006_001;sent_00009664_0006_002;sent_00009664_0006_003,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9664,像羅睺羅當沙彌時，喜歡說謊來尋開心、作弄人。⟂S⟂佛陀知道後，以洗腳的木盆為例，教訓他妄語如穢器，染汙心靈，也無法裝入清淨的法水，更得不到別人的珍惜和尊重。⟂S⟂羅睺羅聽了，非常慚愧懺悔，從此痛改前非，精進修行，而成為佛陀十大弟子的「密行第一」。,1
cev_b0a6c2c49c71,claim_b49d8d747cdf,crel_3ce2b10f4558,doc_00015640,par_00015640_0041,sent_00015640_0041_003,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle15640,因此，玄奘的貢獻與影響，不是他的宗派，而是他對後人的教育早已化為無形。,1
cev_9eb0b9c6dff7,claim_676a98d78eae,crel_29781c5bf18c,doc_00003029,par_00003029_0107,sent_00003029_0107_001;sent_00003029_0107_002;sent_00003029_0107_003,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle3029,5.發願：在寺院裡，出家人早晚功課，常念四弘誓願文：「眾生無邊誓願度，煩惱無盡誓願斷，法門無量誓願學，佛道無上誓願成。」⟂S⟂這四種發願懺悔，就是為了永拔生死根本，無復貪恚愚痴苦惱之患。⟂S⟂過去勝鬘夫人在佛陀授記後，恭敬的發了十大願，成為佛教發願的師範，這十大願的前五願，就是最具體的心理懺悔法門：,1
cev_a4d4773e94be,claim_dce3f2b743dc,crel_7dac94c615c2,doc_00011681,par_00011681_0005,sent_00011681_0005_005;sent_00011681_0005_006,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle11681,正因為他已經了達「心、佛、眾生，三無差別」的平等道理，再也沒有人我、淨穢、男女的妄別，因此能超然不染。⟂S⟂所以維摩詰居士能「入諸婬舍，示欲之過；,1
cev_e678691929e9,claim_110548a18047,crel_1bc166ed9172,doc_00007441,par_00007441_0031,sent_00007441_0031_001;sent_00007441_0031_002,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle7441,後來，宜興大覺寺要申請寺院登記，我邀請錢文忠教授做大覺寺的信徒代表，但地方宗教長官以「教授不可以擔任代表」為由，未蒙批准，甚為可惜。⟂S⟂不過，錢文忠教授已經和佛教結了不解之緣，當然也就不在意是否成為信徒代表了，甚至有什麼事情，他也都自願護持。,1
cev_a30b8d80a82b,claim_6ebfa230f1cf,crel_c69c78d80f27,doc_00009331,par_00009331_0003,sent_00009331_0003_001;sent_00009331_0003_002;sent_00009331_0003_003;sent_00009331_0003_004;sent_00009331_0003_005;sent_00009331_0003_006,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9331,你能可以受三皈五戒，三皈五戒就是佛法。⟂S⟂也不要把佛法當作是什麼抽象的道理，要把它當作是虛空、無相的真理。⟂S⟂佛法的內容，有種種的層次，世間有世間法，出世間有出世間法；⟂S⟂做信徒的有在家法，出家僧眾有僧伽法。⟂S⟂所以像戒律，就等同法律；⟂S⟂像佛經的道理，一句話都可以做為老師，那都是法。,1
cev_1d10c62d6818,claim_f922b75d6bc1,crel_0e659d4657b1,doc_00008641,par_00008641_0026,sent_00008641_0026_001;sent_00008641_0026_002;sent_00008641_0026_003;sent_00008641_0026_004;sent_00008641_0026_005;sent_00008641_0026_006;sent_00008641_0026_007;sent_00008641_0026_008;sent_00008641_0026_009;sent_00008641_0026_010;sent_00008641_0026_011,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle8641,佛教的法海有三藏十二部之多，經過歷代祖師的結集著述，才有今日的規模。⟂S⟂以律藏而言，有五篇三聚，這是總的來說。⟂S⟂如果依別解脫律儀來說，分為八種，即比丘律儀、比丘尼律儀、正學律儀、勤策律儀、勤策女律儀、近事男律儀、近事女律儀、近住律儀等。⟂S⟂如果依所受持的戒法來說，又有五戒、八齋戒、十戒、六法戒、具足戒之別；⟂S⟂具足戒又分比丘戒二百五十條、比丘尼戒三百四十八條，這是屬於聲聞戒。⟂S⟂另外有大乘菩薩戒法的三聚淨戒，即攝律儀戒、攝善法戒、饒益有情戒。⟂S⟂在《梵網經》中列舉出菩薩戒的十重四十八輕戒，在《優婆塞戒經》卷三也舉出六波羅夷二十八輕戒，這是說明戒律的制定有其因緣和目的，戒律的乞受和遵守也有其標準，不是濫傳濫持的。⟂S⟂佛陀臨涅槃時曾說：「汝勿見我入涅槃，便謂正法於世永絕。⟂S⟂何以故？⟂S⟂我昔為諸比丘制戒──波羅提木叉，及餘所說種種妙法，此即是汝等大師，如我住世，無有異也。」⟂S⟂僧團以戒律來規範僧侶的言行，並有共住規約規範大眾的身口意，構成僧團內部有組織又有制度的法律制度。,1
cev_fde19ebc8743,claim_7c16d814af01,crel_33c3d0f39ec0,doc_00010393,par_00010393_0006,sent_00010393_0006_001;sent_00010393_0006_002,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle10393,我個人認為，一個青年學子一生要親近五十位到一百位的大善知識，聽過他們幾句立身處世的教示，未來才容易成功。⟂S⟂所以，我們要記住師長，甚至親朋好友給我們的一句話。,1
cev_86c3d0d4873c,claim_631d40e634e7,crel_b2241d55f003,doc_00001003,par_00001003_0020,sent_00001003_0020_005,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle1003,所以這種緣慮心、分別心、妄想心，不是佛法裡所說的真心。,1
cev_d98e6d59927d,claim_b21d78a2f274,crel_ef05a56eae10,doc_00011111,par_00011111_0213,sent_00011111_0213_002;sent_00011111_0213_003,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle11111,共生、共存、共榮不是很好嗎？⟂S⟂其實，真正的共產黨並不是大陸，是佛教。,1
cev_0209e2fa58a6,claim_29489b14e238,crel_8ca4eef7b057,doc_00009865,par_00009865_0010,sent_00009865_0010_001,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9865,眾生之所以紛爭不已，煩惱不息，最主要的原因，是因為有個堅固的「我執」在作祟。,1
cev_be8cc57120a2,claim_f0778ebb3d2d,crel_3450721be120,doc_00015681,par_00015681_0014,sent_00015681_0014_002,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle15681,當時敬信之餘，心中亟思：「佛教本身固然是上好的福田，但身為佛子的我們如何將這塊福田的價值發揮到極致……後來我在世界各地創辦佛教學院，期能紹隆佛種，報佛深恩於萬一；,1
cev_46a13c96952e,claim_bed3ca3f1817,crel_61d8be20399b,doc_00002640,par_00002640_0245,sent_00002640_0245_001;sent_00002640_0245_002,第八類【日記】,https://books.masterhsingyun.org/ArticleDetail/artcle2640,佛光山是一個提倡人間佛教的道場，所謂人間佛教就是要建設現世的人間淨土，讓信徒生亡皆可往「生」，而不是一定要等死後才能往生極樂世界。⟂S⟂也就是說，信徒發心護持佛教，現世就要讓他們得到利益！,1
cev_72f789629924,claim_c0cd5703d080,crel_c846a0fc0caa,doc_00024149,par_00024149_0033,sent_00024149_0033_001,星雲大師人間佛教傳燈錄,https://books.masterhsingyun.org/ArticleDetail/artcle24149,佛光會以弘法利生為宗旨，顯現不同於其他民間社會團體及慈善單位，是傳承佛陀的教法，弘法利生的宗教團體；,1
cev_a8e65ecef5b5,claim_6c8c94052586,crel_f9d6107c81d1,doc_00021752,par_00021752_0007,sent_00021752_0007_001;sent_00021752_0007_002;sent_00021752_0007_003;sent_00021752_0007_004;sent_00021752_0007_005,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle21752,般若，是即相顯性的甚深義理，不是一般凡夫所能理解的，因此佛陀大慈大悲，宣說《阿彌陀經》，以持念阿彌陀佛聖號求生淨土為主要修行法門，這是善巧中最善巧的法門，方便中最極方便的法門。⟂S⟂所謂三根普被，萬善同歸，是說明此一念佛法門，若以持名念佛，也能消業障，增長福德及信心，若中等根性以觀想念佛或觀像念佛，能依佛像為所緣，一心繫念，達於專注一趣，引生正定，依定觀慧，由此離煩惱繫縛而得解脫。⟂S⟂上等根性若以實相念佛，從緣起畢竟空中，徹見萬化之本性，所謂人身長大，則為非大身，所謂莊嚴佛土者，即非莊嚴，是名莊嚴，所謂三千大千世界，即非世界是名世界。⟂S⟂一切的一切，無非是緣起的假和合，體悟此法性，即所謂見緣起即見佛。⟂S⟂綜合三種念佛，故說淨土法門為三根普被，而在淨土諸經中，以《佛說阿彌陀經》為最簡明、最方便。,1
cev_8375d1626477,claim_ffe73e0ff1bc,crel_aaa630dc36bd,doc_00017807,par_00017807_0014,sent_00017807_0014_010,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17807,人間佛教的走入生活，並非教人一直停留在向外追求福德、心為塵境所轉的凡智狀態，而是在教導福慧相資的修行人生，期許昇華到以智慧心靈自在轉境、無執奉獻的菩薩生命人格，否則人間佛教將無法實現自覺覺人的成佛理想。,1
cev_cb02d0e66dd0,claim_0108d1b30fb7,crel_6151ece4af11,doc_00015168,par_00015168_0015,sent_00015168_0015_004,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle15168,皈依三寶，我們的身心才能平安快樂，因此皈依時三者缺一不可。,1
cev_719df188c954,claim_3ce5ca2b6905,crel_c4a2f64311a5,doc_00024702,par_00024702_0091,sent_00024702_0091_016,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle24702,譬如我們每次唱三寶歌，唱到「今乃知，唯此是，真正皈依處」，使我們心理上頓起警覺，仿佛我們過去如在夢裡一般，直到現在才知道，唯有佛法才是我們的生命皈依處。,1
cev_e8d1094a67d3,claim_d0afdf73744a,crel_04a587d4c5f1,doc_00017989,par_00017989_0010,sent_00017989_0010_004,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17989,佛教彼岸的價值指向及其關於宇宙、人生之實相的本原性洞察，為中國傳統文化關於生命存在及其價值的觀審注入了一個全新的維度，但佛教之彼岸的超越內涵，最終被中國文化所固有的內在的超越性所轉化，彼岸的價值指向最終被此岸的現實生命所涵攝，世間、出世間以及六道的分野最終在「中道」的圓融之境當中獲得其終究統一，一切諸法之無自性的「空」、其現象呈現之「有」，以及圓攝生滅、一異、來去、常斷的「中」，「空」、「假」、「中」三諦的圓融統一被重新界定為一切諸法之「存在」的本然真實。,1
cev_813b52a1289a,claim_514bb21bd417,crel_905435c18c3c,doc_00003986,par_00003986_0004,sent_00003986_0004_007,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle3986,它能牽制眾生，令不得出離生死，故又稱「軛」；,1
cev_85d42ded61d5,claim_61df65c0373f,crel_52bfc18344bd,doc_00015590,par_00015590_0051,sent_00015590_0051_001;sent_00015590_0051_002,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle15590,期間遭遇八○年代外交挫敗，世局詭譎，中華民國退出聯合國之後，與日本、美國相繼斷交，一時人心惶惶，連續幾波留學潮與移民潮，包括到美國、加拿大、紐澳，乃至歐洲、中南美洲、非洲等地，在海外的華人需要心靈寄託，他應信徒大眾請求，到許多無邦交國家建寺，雖處處遭逢困境，卻都勇往直前，不曾退縮，在多元文化中與其他宗教並駕齊驅，為佛教灌注活力與生機，給佛教徒帶來了無上的尊嚴和無比的希望。⟂S⟂不但促進佛教國際化，佛光山也步入世界舞台，形成「佛光普照三千界，法水長流五大洲」的國際化格局。,1
cev_e2951d0544b8,claim_42c769cf47ac,crel_f959a943da5d,doc_00019606,par_00019606_0006,sent_00019606_0006_002;sent_00019606_0006_003,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle19606,為領眾直下承擔成佛的目標與使命，大師帶領與會者宣示，眾人亦以宏亮的聲音回應。⟂S⟂大師說：「既然大家都已經承認自己是佛，那麼大會結束後回家，夫妻就不能吵架，因為佛陀不會吵架；,1
cev_117a190277e3,claim_70ff40697658,crel_feba780188cc,doc_00000660,par_00000660_0018,sent_00000660_0018_003,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle660,所謂「一念三千」，剎那之間的一念，具足了三千大千世界，一剎那之間就是無量阿僧祇劫，就是永恆。,1
cev_41dfe3f5b471,claim_f85541d9e766,crel_5a8a8dc7a730,doc_00000597,par_00000597_0068,sent_00000597_0068_008;sent_00000597_0068_009,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle597,一切眾生和我本來為一體，大地眾生皆有佛性，只因為身軀的不同，就將牠殘殺吃食，把自己的快樂建築在眾生的痛苦上，不用閻羅王來斷罪，我們自己想想也知道不應該；⟂S⟂如此而仍不知慈悲，真是禽獸不如了。,1
cev_60c2c8a6ab57,claim_c090789ce070,crel_39f4fd7083da,doc_00002569,par_00002569_0001,sent_00002569_0001_001;sent_00002569_0001_002;sent_00002569_0001_003,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle2569,佛陀十大弟子中，大迦葉尊者居上首。⟂S⟂靈山會上，梵天王持金色波羅花獻佛請法，佛陀拈花示眾，與會百萬人天均不明所以，唯有大迦葉心領神會，破顏微笑，佛陀遂開口道：「我有正法眼藏、涅槃妙心，已咐囑摩訶迦葉。」⟂S⟂禪宗以心印心的公案，由此流傳兩千五百年，尊奉大迦葉為「西天第一代祖師」。,1
cev_992323361ddf,claim_8377b0bf3025,crel_7fb11865b252,doc_00014949,par_00014949_0014,sent_00014949_0014_002,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle14949,意思是說，我們的無明煩惱像水流著，若是想要覺悟，必須逆生死之流，不能像一般隨世俗之見，順水而流。,1
cev_192c726a3ce5,claim_33ddcb06f052,crel_a947ef520bb2,doc_00017985,par_00017985_0257,sent_00017985_0257_001;sent_00017985_0257_002,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17985,無私、無我之外，明理、平等，也是大師人格的一大特質。⟂S⟂大師自民國三十八年（一九四九）來台，即與家人失去連繫，直到近十年才又重獲音訊往來，並於一九八九年回大陸弘法探親。,1
cev_9531de015757,claim_45addfde605a,crel_22cbd46d5a33,doc_00005642,par_00005642_0060,sent_00005642_0060_001,第六類【傳記】,https://books.masterhsingyun.org/ArticleDetail/artcle5642,所以，在佛教裡，一個僧才的養成確實不易，除了自己的福德因緣要具足，還要有善知識的提攜、指導。,1
cev_5e42aa67d35e,claim_558c394db0b2,,doc_00015647,par_00015647_0180,sent_00015647_0180_002;sent_00015647_0180_003,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle15647,世間上再怎麼壞的惡人，偶爾也會有一念悲憫之心生起，只要有一念善心在，就有成佛的可能，所以學佛就是要開發佛性，因此要「諸惡莫作，眾善奉行」。⟂S⟂也就是說，只要行善去惡，一旦惡業消除，佛性現前，就能證悟成道，就能離苦得樂，這才是佛陀「示教利喜」的真正本懷。,1
cev_35cc7129f8a7,claim_b18f488fe733,crel_2e09606be698,doc_00009040,par_00009040_0014,sent_00009040_0014_003,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle9040,這本書上說「地球資源有極限，北方大量消耗，南方就會匱乏」，「必須把繁榮、富裕的社會生活水平，從浪費型拉到共存型」，這也是對「同體與共生」的認識。,1
cev_324b645df713,claim_8fbc6a4cbdea,crel_0e4f0db4a41d,doc_00003981,par_00003981_0003,sent_00003981_0003_001;sent_00003981_0003_002,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle3981,佛陀一代時教所說的空有、無常、因果、中道、三法印、四聖諦、十二因緣等教法，可以說都是為了詮顯緣起思想的根本教理所作的方便教說，《首楞嚴義疏注經》說：「聖教自淺至深，說一切法，不出因緣二字。」⟂S⟂這也說明了佛陀的教法有其一貫性。,1
cev_8563ac758c30,claim_d277dffb8443,crel_7224d0794cad,doc_00000073,par_00000073_0077,sent_00000073_0077_001;sent_00000073_0077_002,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle73,人間佛教是「入世重於出世，生活重於生死，利他重於自利，普濟重於獨修」，如果沒有菩提心，就無法修學菩薩道；⟂S⟂因此，唯有發菩提心的人，才堪任人間佛教的責任，才堪弘揚人間佛教。,1
cev_900729c8b412,claim_131d509534cf,crel_61c32cc90323,doc_00003862,par_00003862_0142,sent_00003862_0142_002,第八類【日記】,https://books.masterhsingyun.org/ArticleDetail/artcle3862,四攝法裡的「愛語、利行」、十大願中的「稱讚如來」，佛弟子面對三寶的時候更以梵唄唱誦來加以讚歎，甚至每部經典的最後，都記載著弟子們在聽聞佛法後「歡喜讚歎，信受奉行，作禮而去」的殊勝情景，由此可見，讚歎是多麼的重要啊！,1
cev_caa9d7516e77,claim_d5b4ff342e73,crel_79bad504d41f,doc_00016563,par_00016563_0013,sent_00016563_0013_003,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle16563,你可以對佛祖沒有信心，因為佛祖你信他、不信他，他不多也不少，但你不能對自己沒有信心，不能說「我不會」、「我不能」、「我不要」。,1
cev_8097ecbabe97,claim_02c893efe947,crel_49c89dbe3972,doc_00007563,par_00007563_0003,sent_00007563_0003_002;sent_00007563_0003_003,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle7563,佛陀成道以後，不捨世間眾生，仍然到處說法，把菩提的歡喜散播給大眾，不求獨樂，但求眾樂，這就以出世的思想做入世的事業。⟂S⟂所以，學佛應該要先入世後出世，然後再從出世而入世；,1
cev_446c2c2304bd,claim_613e4f570876,crel_93ac04aa404c,doc_00008774,par_00008774_0020,sent_00008774_0020_004;sent_00008774_0020_005,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle8774,又因閱及法顯所譯的六卷《泥洹經》，乃謂一闡提人皆得成佛。⟂S⟂其時，《大般涅槃經》尚未傳至，聞者難信，群起攻訐。,1
cev_afa448cd959a,claim_0b5c4d7eecd4,crel_8f2d4948e4a2,doc_00004356,par_00004356_0022,sent_00004356_0022_001;sent_00004356_0022_002;sent_00004356_0022_003,第八類【日記】,https://books.masterhsingyun.org/ArticleDetail/artcle4356,三十多年前，我到嘉義參訪時，看到一個小女孩在寺院掃地，就問他︰「想不想到佛光山讀書？」⟂S⟂想不到一句話就讓他上了佛光山，且安住到現在，那就是板橋講堂的住持依德法師（也是台北道場的當家）。⟂S⟂板橋地區有很多信徒，每逢初一、十五或佛事法會，都往普門寺跑，等車、轉車、換車頗不方便，因此應信眾要求，而成立板橋講堂。,1
