relation_type,label,definition,source_types,target_types,direction,projection,analytics_policy,status
classic_records_person,经典记载人物,target 人物在文本中被明确表述为 source 经典所记载、叙述、提到、描写、出现或作为故事角色。本关系描述经典内容中的人物，不等同于经典作者、译者、讲解者、题名共现或历史传记事实。,Classic,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
classic_states_or_mentions_doctrine,经典陈述或提及教义,经典原文明确陈述或提及某一教义概念,Classic,Concept;DoctrineTerm;PlaceRealm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_complementary_with,概念在语境中相互助成,原文明确说明两个概念或实践彼此补充或共同成立,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,symmetric,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_contextualizes_practice,概念在特定语境中解释实践,概念或教义为某项实践提供明确的语境限定或理解框架。,Concept,DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_defined_as,概念定义为,原文明确界定来源概念的含义或所指,Concept;DefinitionPhrase;DoctrineTerm;Group;Institution;PlaceRealm;PracticeActivity;RoleTitle;SchoolTradition,Concept;DefinitionPhrase;DoctrineTerm;Group;Institution;PlaceRealm;PracticeActivity;RoleTitle;SchoolTradition;Value,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_encompasses_doctrinal_scope,概念统摄教义范围,概念或教義被原文明確表述為統攝、具足、涵攝或以單一原理貫攝另一概念或諸法整體；不等同於分類包含、構成部件、語義等同或普通共現。,Concept;DoctrineTerm,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
concept_equivalent_to,概念等同或同义,原文在当前语境中明确说明两个概念等同或可互释,Concept;DoctrineTerm;Group;PlaceRealm;PracticeActivity;RoleTitle;SchoolTradition,Concept;DoctrineTerm;Group;PlaceRealm;PracticeActivity;RoleTitle;SchoolTradition,symmetric,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_false_opposition_rejected,反对将两个概念截然对立,Stage261-A依据原文证据审定的关系；仅在实体角色、方向及谓词语义均明确时成立。,DoctrineTerm,DoctrineTerm,symmetric,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_has_causal_role,概念具有因果角色,原文证据支持“概念具有因果角色”这一语义关系。,DoctrineTerm;Concept,DefinitionPhrase;DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_has_practice_goal,概念以某对象为实践目标,概念或教义明确指向某一实践目标或修持结果。,Concept,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_has_quality,概念具有属性,原文证据支持“概念具有属性”这一语义关系。,Concept;DoctrineTerm,DefinitionPhrase;DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_has_subconcept,概念包含下位概念,target 是 source 的明确下位概念、分类项、内涵项或特征项；必须有清楚的上位 source、可切分 target list 和分类/包含框架。不包括普通存在句、因果句、文本章节、同级枚举、实践步骤或教义原则。,Concept;DoctrineTerm,Concept;DoctrineTerm;Group;PracticeActivity;SubconceptPhrase;Value,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_in_tension_with,概念之间存在义理张力,原文明示两个完整概念之间存在差异对立冲突或需要平衡的张力,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,symmetric,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_is_foundation_of,概念构成另一概念或实践的基础,原文明示来源概念是目标概念或实践的基础,Concept;DoctrineTerm,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_misinterpreted_as,概念被误解为,原文证据支持“概念被误解为”这一语义关系。,DoctrineTerm,DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_named_as,概念命名为,文本说明 source 在当前语境中被称为、名为、简称为、又称为或译作 target；该关系主要记录名称、别名、简称、译名和称名证据，不等同于严格定义或语义等同。,Classic;Concept;DefinitionPhrase;DoctrineTerm;Group;PlaceRealm;PracticeActivity;RoleTitle;SchoolTradition,Classic;Concept;DoctrineTerm;Group;NamePhrase;PlaceRealm;PracticeActivity;RoleTitle;SchoolTradition;Value,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
concept_reconciled_with,概念在语境中被说明为可调和,原文明确消解两个概念之间的表面冲突并说明其可以协调,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,symmetric,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
conceptual_scope_includes_figure,概念作用范围涉及人物,原文证据支持“概念作用范围涉及人物”这一语义关系。,Concept;DoctrineTerm,BuddhistFigure,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
consciousness_transforms_into_wisdom,识转化为智,source Concept 或 DoctrineTerm 所代表的識，被原文明確表述為經由修行轉化成 target DoctrineTerm 所代表的智；方向由被轉化的識指向所得之智，不等同於靜態同義、並列分類或智慧觀察對象。,Concept;DoctrineTerm,DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
doctrinal_entails,义理论证推出,原文给出从来源义理到目标义理或实践结果的明确论证路径,Concept;DoctrineTerm;PracticeActivity,Concept;DoctrineTerm;PlaceRealm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
doctrine_advocates_value,教义倡导价值,source Concept、DoctrineTerm或SchoolTradition 被原文明確說成倡導、提倡或重視 target Concept或DoctrineTerm所表達的價值與生活目標；不等同於概念定義、屬性或由人物倡導該教義。,Concept;DoctrineTerm;SchoolTradition,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
doctrine_articulates_term,教义阐发术语,原文证据支持“教义阐发术语”这一语义关系。,DoctrineTerm,DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
doctrine_based_on_classic,教义依据经典,文本明确说明 source 所代表的教义、概念、实践、境界观或宗派主张以 target 具体经典/经论为依据、来源、出处或根本；不包括题名书目共现、翻译史、泛称经典或仅记载人物事件。,Concept;DoctrineTerm;PlaceRealm;PracticeActivity;SchoolTradition,Classic,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
doctrine_centers_group,教义以群体为中心,概念、教義或宗派傳統被原文明確表述為尊重、重視或以某一群體為中心；不等同於向群體說法、服務群體、群體倡導教義或一般共現。,Concept;DoctrineTerm;SchoolTradition,Group,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
doctrine_constrained_by,义理受条件或范围限制,来源教义概念或实践的成立适用或实现受到目标条件限制,Concept;DoctrineTerm;PlaceRealm;PracticeActivity,Concept;DoctrineTerm;PlaceRealm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
doctrine_flourishes_at_place,教义兴盛于地点,原文证据支持“教义兴盛于地点”这一语义关系。,DoctrineTerm;SchoolTradition,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
doctrine_originates_at_place,教义或宗派起源于地点,教义或宗派传统被原文明示发源、起源、肇始或形成于某地；不等同于后续传播地、兴盛地、机构所在地或地名共现。,DoctrineTerm;SchoolTradition,PlaceRealm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
doctrine_supported_by_group,教义由群体护持,source DoctrineTerm/SchoolTradition 被原文明示依靠 target Group 的護持、維繫或持續支持而得以延續或運作；方向由被護持的教義/傳統指向護持群體，不等同於群體倡導教義、一般信仰歸屬或單次捐助。,Concept;DoctrineTerm;SchoolTradition,Group,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
doctrine_transmitted_to_place,教义传播至地点,原文证据支持“教义传播至地点”这一语义关系。,DoctrineTerm;SchoolTradition,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
entity_explained_by_claim,实体由语境命题解释,完整命题解释实体在当前语境中的意义或作用,AnyRegisteredEntity,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
entity_has_condition_claim,实体具有条件或范围命题,完整命题说明实体成立实践或适用的条件与范围,AnyRegisteredEntity,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
entity_has_contextual_semantic_shift_claim,实体具有语境意义变化命题,完整命题描述术语在特定历史或语篇语境中的意义变化,AnyRegisteredEntity,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
entity_has_interpretation_claim,实体具有诠释或修正命题,完整命题记录对实体的具体诠释或对旧理解的修正,AnyRegisteredEntity,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
entity_has_reasoning_claim,实体具有推论或结果命题,完整命题记录围绕实体形成的推论依据或结果,AnyRegisteredEntity,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
entity_has_tension_claim,实体具有义理张力命题,张力涉及完整要求或长命题而不能压缩为两个稳定短端点,AnyRegisteredEntity,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
figure_practices_tradition,人物实践宗派传统,原文证据支持“人物实践宗派传统”这一语义关系。,BuddhistFigure,SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
group_advocates_doctrine,群体倡导教义,原文证据支持“群体倡导教义”这一语义关系。,Group,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
group_attains_doctrinal_state,群体证得教义境界,source 人物群体被原文明示共同或概括性地亲证、证得、达到或实现 target 教义状态或境界；不包括群体仅倡导、讲授、涉及该教义或由作者推断其证得。,Group,Concept;DoctrineTerm;PlaceRealm,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
group_compiles_work,群体编纂作品,群體被原文明確表述為共同結集、編纂、編寫或彙編某一經典或作品；不包括僅研讀、傳播、引用或被作品記載。,Group,Classic;Work,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
group_founds_institution,群体创设机构,source 群体被原文明示独立或与其他施事者共同创立、创建、创办或建立 target 机构；方向为创设群体指向所创机构，不等同于出资支持、参加活动或使用该机构。,Group,Institution,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
group_guides_or_saves_group,群体教化或度化群体,原文证据支持“群体教化或度化群体”这一语义关系。,Group,Group,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
group_has_doctrinal_quality,群体具有教义品质,source Group被原文明確描述為具有、呈現或體現target Concept或DoctrineTerm所指的穩定教義品質；方向由群體指向品質，不等同於倡導、修持、證得、教授或一般共現。,Group,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
group_hosts_activity,群体举办活动,团体作为明确施事者主办、举办或承办某项活动。,Group,PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
group_oppresses_group,群体压迫群体,群體被原文明確表述為以權勢、制度、暴力或階級支配壓迫另一群體；不包括一般競爭、同列階級、抽象張力或只說地位不同。,Group,Group,directed,evidence_graph,never_centrality_eligible,stage264i_new_relation_candidate
group_participates_in_activity,群体参与活动,群体被原文明示出席、参加、在场，或在某一宗教活动中共同实施、接受、回应可辨行动；不包括活动名称共现、地点背景或未实现计划。,Group,PracticeActivity,directed,evidence_graph,never_centrality_eligible,stage264i_new_relation_candidate
group_performs_practice,群体实践修行,原文证据支持“群体实践修行”这一语义关系。,BuddhistFigure;Group,DoctrineTerm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
group_supports_institution,群体支持机构,source 群體被原文明示以經費、物資、勞務或組織協助支持 target 機構的創辦、建設或持續運作；方向為支持群體指向受支持機構，不包括僅參加活動、使用設施或一般共現。,Group,Institution,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
group_venerates_person,群体尊崇人物,群體被原文明確表述為尊敬、崇敬、仰慕或奉某一人物為精神典範；不等同於人物教導群體、成員資格或一般共同出現。,Group,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
institution_advocates_concept,机构倡导理念,原文证据支持“机构倡导理念”这一语义关系。,Institution,Concept,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_affiliated_with,机构隶属或关联机构,source 机构明确隶属、附属、直属、归属、所属、辖属或归属于 target 上级机构、组织系统或宗派传统。它描述组织隶属结构，不等同于共同主办、合作、支持、地点共现、同名机构并列或活动参与。,Institution,Institution;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_belongs_to_school,机构属于宗派,原文证据支持“机构属于宗派”这一语义关系。,Institution,SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_enshrines_or_preserves_ritual_object,机构安奉或典藏仪式物,機構被原文明確表述為長期安奉、供奉、典藏、保存或容納某一儀式物、聖物或宗教遺物；不包括短期展示、活動地點或單次禮敬。,Institution,RitualObject,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
institution_establishes_subunit_at_place,机构在地点设立分支,原文证据支持“机构在地点设立分支”这一语义关系。,Institution,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_founds_institution,机构创设机构,原文证据支持“机构创设机构”这一语义关系。,Institution,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_has_facility,机构具有场所设施,source 机构、寺院或组织被原文明示设有、包含或具备 target 稳定的内部场所、堂口或功能空间；方向为机构指向设施，不等同于机构分支、机构所在地或临时活动地点。,Institution,PlaceRealm,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
institution_has_primary_member_group,机构以某群体为主要成员,机构被原文明示以某一群体为主体、主要成员或核心会员群；不等同于服务对象、活动参与者、隶属机构或一般支持者。,Institution,Group,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
institution_has_subunit,机构具有分支,target 是 source 机构明确下设、设有、包括、组成或管辖的分院、分会、别院、支部、学院、部门、事业单位或分支机构。它描述机构内部组成结构，不等同于机构并列清单、共同活动、地点设址或同名机构共现。,Institution,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_hosts_activity,机构举办活动,source 机构明确主办、承办、举办、发起、组织、召开或举行 target 活动、法会、讲座、会议、仪式、课程、弘法活动或实践项目。它描述活动组织者关系，不等同于参加、支持、出席、活动地点或机构传播教义。,Institution,Activity;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_located_at_place,机构位于地点,source 机构明确位于、坐落于、设于、地处或位在 target 地点。它描述机构的相对稳定设址，不等同于活动发生地点、临时访问地点、创办地点或象征性境界。,Institution,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_operates_publication,机构运营出版物,原文证据支持“机构运营出版物”这一语义关系。,Institution,Classic,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_organizes_mission,机构组织弘法团队,原文证据支持“机构组织弘法团队”这一语义关系。,Institution,Group,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_participates_in_activity,机构参与活动,source 机构明确参与、协办、支持、赞助、联合参与或出席 target 活动，但不承担主办或承办角色。它属于传播证据或背景参与关系，默认不作为核心图谱边。,Institution,Activity;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_plans_activity,机构计划活动,原文证据支持“机构计划活动”这一语义关系。,Institution,PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_plans_presence_at_place,机构计划在地点设点,原文证据支持“机构计划在地点设点”这一语义关系。,Institution,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_promotes_practice,机构推动实践,source 机构明确推动、开展、推广、落实、实践、倡导或弘扬 target 实践活动、修持方法、社会实践、宗旨项目或具有实践性的概念/教义。它描述机构把思想落实为实践的传播关系，不等同于机构举办单次活动、机构弘扬经典教义或四大宗旨清单内部组成。,Institution,Concept;DoctrineTerm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_propagates_doctrine,机构传播教义,source 机构明确弘扬、宣扬、推广、传播、倡导、阐扬、讲说或提倡 target 思想、教义、概念、经典或法门。它描述机构作为传播主体的思想/经典传播关系，不等同于机构举办活动、参与活动、推动实践项目或书目标题共现。,Institution,Classic;Concept;DoctrineTerm;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_realizes_ideal,机构承载或实现理念,机构的明确实践被文本表述为落实某一理念、教义或理想境界。,Institution,PlaceRealm;Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_renamed_to,机构更名为,source 机构的旧名或前身被原文明示更名、改称或沿革为 target 新名或后续机构；方向为旧名或前身指向新名或后续机构，不等同于机构创设、隶属、迁址或无时间次序的别名共现。,Institution,Institution,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
institution_serves_group,机构服务或利益群体,Stage261-A依据原文证据审定的关系；仅在实体角色、方向及谓词语义均明确时成立。,Institution,Group;RoleTitle,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
institution_trains_group,机构培养人才群体,source 教育、培训或宗教机构被原文明示教育、培训、培养或持续栽培 target 人才、学员或受训群体；方向为机构指向受培养群体，不等同于一般服务、招募或举办单次课程。,Institution,Group,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
patron_supports_person,人物或机构供养护持人物,人物、佛教人物或機構被原文明確表述為持續供養、資助、庇護或保障另一人物的生活與宗教事業；不包括一次性贈禮、一般交往、抽象尊敬或僱傭薪資。,BuddhistFigure;Institution;Person,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_adheres_to_doctrine_or_tradition,人物信奉教义或宗教传统,source 人物被原文明示为信仰、虔信、皈信、奉持或信奉 target 教义、宗教或宗派传统；不包括仅研究、讲授、政治利用、一般支持或人物宗派归属。,BuddhistFigure;Person,Concept;DoctrineTerm;SchoolTradition,directed,stable_entity_graph,eligible_after_evidence_review,active_registered_relation
person_advocates_doctrine,人物倡导教义,原文证据支持“人物倡导教义”这一语义关系。,BuddhistFigure;Person,Concept;DoctrineTerm;PracticeActivity;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_articulates_concept_or_doctrine,人物阐发概念或教义,原文证据支持“人物阐发概念或教义”这一语义关系。,BuddhistFigure;Person,Concept;DoctrineTerm;PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_articulates_doctrinal_system,人物建构教义体系,原文证据支持“人物建构教义体系”这一语义关系。,Person,Concept,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_associated_with_place,人物关联地点,source 人物明确到访、前往、驻锡、弘法于、访问、参访、住于、出生于、圆寂于或活动于 target 地点/机构。它是人物空间活动证据，默认不进入核心思想图。,BuddhistFigure;Person,Institution;PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_attains_doctrinal_state,人物证得教义境界,原文证据支持“人物证得教义境界”这一语义关系。,BuddhistFigure;Person,Concept;DoctrineTerm;PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_authors_work,人物创作或撰写作品,source 人物被原文明示为 target 具体文本或作品的作者，包括撰写、作序、创作或编纂；不包括创办出版物、翻译、解释经典或仅有署名共现。,BuddhistFigure;Person,Classic;Work,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
person_belongs_to_school,人物属于宗派,source 被文本明确归属于 target 宗派、学派、法脉、思想传统或教法传统，或被称为 target 的宗师、传人、法嗣、门下。本关系描述人物与宗派传统归属，不等同于佛教徒身份、弟子关系、宗派比较或人物谈论某宗。,BuddhistFigure;Person,DoctrineTerm;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_cites_classic,人物引用经典,原文证据支持“人物引用经典”这一语义关系。,BuddhistFigure;Person,Classic,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_commissions_work,人物委托或命令编撰作品,人物或佛教人物被原文明確表述為要求、下令、委託或授意他人編纂、記錄或創作某一作品；不等同於作品作者、作品受呈者、人物引用作品或作品記載人物。,BuddhistFigure;Person,Classic;Work,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_directs_foundation,人物指派或推动机构创设,原文证据支持“人物指派或推动机构创设”这一语义关系。,Person,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_establishes_local_branch,人物建立地方组织,原文证据支持“人物建立地方组织”这一语义关系。,Person,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_formulates_institutional_rule,人物制定制度,原文证据支持“人物制定制度”这一语义关系。,BuddhistFigure;Person,Concept;DefinitionPhrase,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_founds_institution,人物创设机构,source 人物明确创立、创建、创办、开山、建立或开创 target 机构、道场、学校、组织、协会、寺院或事业体。它描述创设关系，不等同于任职、住持、参与、出席、共同主办或在某地活动。,BuddhistFigure;Person,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_founds_institution_group,人物创设机构群体,人物明确创立兼具机构或团体属性的组织。,Person,Group,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_founds_publication,人物创办出版物,原文证据支持“人物创办出版物”这一语义关系。,Person,Classic,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_guides_or_saves_group,人物教化或度化群体,原文证据支持“人物教化或度化群体”这一语义关系。,BuddhistFigure;Person,Group,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_has_title_or_role,人物具有称号或代表性角色,人物或佛教人物被原文明確稱為某一穩定稱號、代表性角色或德目位次；不等同於群體成員、證得境界或一般形容。,BuddhistFigure;Person,RoleTitle,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_hosts_activity,人物主持活动,source 人物被原文明示主持、主礼或主导 target 活动、法会、会议或仪式；不同于一般参加、受邀出席、在活动中发言或机构主办。,BuddhistFigure;Person,Activity;PracticeActivity,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
person_interprets_classic,人物解释经典,source 人物在文本中明确对 target 经典进行讲说、讲解、注解、疏释、诠释、阐释、开示或引用解释。它记录人物与经典解释活动，不等同于人物与经典共现、佛陀泛说法、课程题名或书目清单。,BuddhistFigure;Person,Classic,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_leads_group,人物领导群体,原文证据支持“人物领导群体”这一语义关系。,Person,Group,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_leads_institution,人物领导机构,source 人物在 target 机构中担任住持、会长、董事长、院长、主任、负责人、导师、领导者或主持者等职务。它描述组织角色或任职关系，不等同于创办机构、出席活动、陪同访问或机构承办活动。,BuddhistFigure;Person,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_learns_from_person,人物师从或学习于人物,source 作为学习者、求法者、参学者或弟子，在文本中明确向 target 学习、受教、问法、依止、亲近或拜其为师。本关系描述学习/受教关系，不等同于礼拜、信仰、模仿精神、共同出席或法脉传授。,BuddhistFigure;Person,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_makes_vow,佛教人物发下誓愿,source佛教人物在原文中被明確表述為發願、立誓或作出target誓願；方向由發願人物指向誓願，不等同於人物倡導教義或誓願利益群體。,BuddhistFigure;Person,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_member_of_group,人物属于群体,source 人物被原文明示为 target 群体、名单或成员集合的成员或其中之一；方向统一为人物指向所属群体，不等同于师承、领导、宗派归属或同列共现。,BuddhistFigure;Person,Group;Institution,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
person_moves_to_place,人物迁往地点,原文证据支持“人物迁往地点”这一语义关系。,Person,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_participates_in_activity,人物参与活动,source Person 或 BuddhistFigure 被原文明確表述為出席、參加、到場、在場，或在 target Activity／PracticeActivity 中實施、接受、回應活動；方向由人物指向活動，不包括僅提及活動、活動地點共現、未實現的計畫，或沒有可辨人物參與謂詞的背景。,BuddhistFigure;Person,PracticeActivity,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
